"date","releaseType","estimate_kgh","actual_kgh","technology"
2022-09-25 20:00:00,"1.7mStack",0,1.5,"truckTDLAS"
2022-09-25 20:00:00,"1.7mStack",0.4,0.25,"truckTDLAS"
2022-09-25 20:00:00,"1.7mStack",0.3,0.25,"truckTDLAS"
2022-09-25 20:00:00,"TallFlare",20.28,49.7058823529412,"truckTDLAS"
2022-09-25 20:00:00,"TallFlare",175.99,49.7058823529412,"truckTDLAS"
2022-09-25 20:00:00,"TallFlare",67.38,49.7058823529412,"truckTDLAS"
2022-09-25 20:00:00,"TallFlare",46.79,49.7058823529412,"truckTDLAS"
2022-09-25 20:00:00,"TallFlare",15.93,49.7058823529412,"truckTDLAS"
2022-09-25 20:00:00,"TallFlare",23.45,20.8823529411765,"truckTDLAS"
2022-09-25 20:00:00,"TallFlare",2.86,20.8823529411765,"truckTDLAS"
2022-09-25 20:00:00,"TallFlare",10.63,20.8823529411765,"truckTDLAS"
2022-09-25 20:00:00,"TallFlare",52.8,35.2941176470588,"truckTDLAS"
2022-09-25 20:00:00,"TallFlare",0,35.2941176470588,"truckTDLAS"
2022-09-25 20:00:00,"TallFlare",42.11,35.2941176470588,"truckTDLAS"
2022-09-25 20:00:00,"TallFlare",6.45,39.7058823529412,"truckTDLAS"
2022-09-25 20:00:00,"TallFlare",36.71,39.7058823529412,"truckTDLAS"
2022-09-25 20:00:00,"TallFlare",23.71,39.7058823529412,"truckTDLAS"
2022-09-25 20:00:00,"TallFlare",2.29,10,"truckTDLAS"
2022-09-25 20:00:00,"TallFlare",3.8,10,"truckTDLAS"
2022-09-25 20:00:00,"TallFlare",0,10,"truckTDLAS"
2022-09-25 20:00:00,"4.8mStack",0,5,"truckTDLAS"
2022-09-25 20:00:00,"4.8mStack",0,5,"truckTDLAS"
2022-09-25 20:00:00,"4.8mStack",0,5,"truckTDLAS"
2022-09-25 20:00:00,"4.8mStack",6.89,5,"truckTDLAS"
2022-09-25 20:00:00,"4.8mStack",8.8,5,"truckTDLAS"
2022-09-25 20:00:00,"4.8mStack",57.17,49.7058823529412,"truckTDLAS"
2022-09-25 20:00:00,"4.8mStack",66.28,49.7058823529412,"truckTDLAS"
2022-09-25 20:00:00,"4.8mStack",28.64,20.8823529411765,"truckTDLAS"
2022-09-25 20:00:00,"4.8mStack",9.57,20.8823529411765,"truckTDLAS"
2022-09-25 20:00:00,"4.8mStack",14.24,35.2941176470588,"truckTDLAS"
2022-09-25 20:00:00,"4.8mStack",20.73,35.2941176470588,"truckTDLAS"
2022-09-25 20:00:00,"4.8mStack",12.81,39.7058823529412,"truckTDLAS"
2022-09-25 20:00:00,"4.8mStack",20.49,39.7058823529412,"truckTDLAS"
2022-09-25 20:00:00,"4.8mStack",17.77,10,"truckTDLAS"
2022-09-25 20:00:00,"4.8mStack",9.25,10,"truckTDLAS"
2022-09-25 20:00:00,"4.8mStack",0,0,"truckTDLAS"
2022-09-25 20:00:00,"4.8mStack",0,0.25,"truckTDLAS"
2022-09-25 20:00:00,"4.8mStack",0,0.25,"truckTDLAS"
2022-09-25 20:00:00,"4.8mStack",0,2.5,"truckTDLAS"
2022-09-25 20:00:00,"4.8mStack",0,2.5,"truckTDLAS"
2022-09-25 20:00:00,"4.8mStack",0,2.5,"truckTDLAS"
2022-09-25 20:00:00,"4.8mStack",0,2.5,"truckTDLAS"
2022-09-26 20:00:00,"GreenTankIntoWind",8.02263275005505,5,"truckTDLAS"
2022-09-26 20:00:00,"GreenTankIntoWind",8.58307676361952,5,"truckTDLAS"
2022-09-26 20:00:00,"GreenTankIntoWind",5.04815515753492,5,"truckTDLAS"
2022-09-26 20:00:00,"GreenTankIntoWind",2.57272145996817,5,"truckTDLAS"
2022-09-26 20:00:00,"GreenTankIntoWind",6.22744587338253,5,"truckTDLAS"
2022-09-26 20:00:00,"GreenTankIntoWind",4.28573001916697,5,"truckTDLAS"
2022-09-26 20:00:00,"GreenTankIntoWind",4.99046823549731,5,"truckTDLAS"
2022-09-26 20:00:00,"GreenTankIntoWind",3.63538644742442,5,"truckTDLAS"
2022-09-26 20:00:00,"GreenTankIntoWind",3.71132778934178,5,"truckTDLAS"
2022-09-26 20:00:00,"GreenTankIntoWind",5.24952911453329,5,"truckTDLAS"
2022-09-26 20:00:00,"GreenTankIntoWind",8.61067722727269,5,"truckTDLAS"
2022-09-26 20:00:00,"GreenTankIntoWind",2.10973439274598,2.5,"truckTDLAS"
2022-09-26 20:00:00,"GreenTankIntoWind",1.56903143707247,2.5,"truckTDLAS"
2022-09-26 20:00:00,"GreenTankIntoWind",4.148007140193,2.5,"truckTDLAS"
2022-09-26 20:00:00,"GreenTankIntoWind",1.58587233028676,2.5,"truckTDLAS"
2022-09-26 20:00:00,"GreenTankIntoWind",1.17359277554245,2.5,"truckTDLAS"
2022-09-26 20:00:00,"GreenTankIntoWind",0,0,"truckTDLAS"
2022-09-26 20:00:00,"GreenTankIntoWind",0,0,"truckTDLAS"
2022-09-26 20:00:00,"GreenTankIntoWind",0,0,"truckTDLAS"
2022-09-26 20:00:00,"GreenTankIntoWind",0,10,"truckTDLAS"
2022-09-26 20:00:00,"GreenTankIntoWind",8.87861697607344,10,"truckTDLAS"
2022-09-26 20:00:00,"GreenTankIntoWind",8.89092346556798,10,"truckTDLAS"
2022-09-26 20:00:00,"GreenTankIntoWind",11.9249431390257,0.25,"truckTDLAS"
2022-09-26 20:00:00,"GreenTankIntoWind",0,1.5,"truckTDLAS"
2022-09-26 20:00:00,"GreenTankIntoWind",0,1.5,"truckTDLAS"
2022-09-26 20:00:00,"GreenTankIntoWind",0.312600928940205,1.5,"truckTDLAS"
2022-09-26 20:00:00,"GreenTankIntoWind",1.61653630240041,1,"truckTDLAS"
2022-09-26 20:00:00,"GreenTankIntoWind",1.07544824490041,1,"truckTDLAS"
2022-09-26 20:00:00,"GreenTankAwayWind",0.799915897200686,1,"truckTDLAS"
2022-09-26 20:00:00,"GreenTankAwayWind",0.644595731924629,1,"truckTDLAS"
2022-09-26 20:00:00,"GreenTankAwayWind",1.18187116760979,1.5,"truckTDLAS"
2022-09-26 20:00:00,"GreenTankAwayWind",1.58938118228595,0.25,"truckTDLAS"
2022-09-26 20:00:00,"GreenTankAwayWind",0,0.25,"truckTDLAS"
2022-09-26 20:00:00,"GreenTankAwayWind",4.90671631670654,10,"truckTDLAS"
2022-09-26 20:00:00,"GreenTankAwayWind",6.17104063400899,10,"truckTDLAS"
2022-09-26 20:00:00,"GreenTankAwayWind",0,0,"truckTDLAS"
2022-09-26 20:00:00,"GreenTankAwayWind",0,0,"truckTDLAS"
2022-09-26 20:00:00,"GreenTankAwayWind",0.483467753402873,2.5,"truckTDLAS"
2022-09-26 20:00:00,"GreenTankAwayWind",2.36047511605332,2.5,"truckTDLAS"
2022-09-26 20:00:00,"1.7mStack",3.34123851042105,5,"truckTDLAS"
2022-09-26 20:00:00,"1.7mStack",42.5813463096492,49.7058823529412,"truckTDLAS"
2022-09-26 20:00:00,"1.7mStack",0.446463706920101,1,"truckTDLAS"
2022-09-26 20:00:00,"1.7mStack",0.652251437832363,1,"truckTDLAS"
2022-09-26 20:00:00,"1.7mStack",30.4974868002696,20.8823529411765,"truckTDLAS"
2022-09-26 20:00:00,"1.7mStack",0.178479911640086,0.25,"truckTDLAS"
2022-09-26 20:00:00,"1.7mStack",0.149378165007222,0.25,"truckTDLAS"
2022-09-26 20:00:00,"1.7mStack",0,0,"truckTDLAS"
2022-09-26 20:00:00,"1.7mStack",0,0,"truckTDLAS"
2022-09-26 20:00:00,"1.7mStack",25.9704990422055,35.2941176470588,"truckTDLAS"
2022-09-26 20:00:00,"1.7mStack",0.927413131860205,1.5,"truckTDLAS"
2022-09-26 20:00:00,"1.7mStack",1.35954833199175,5,"truckTDLAS"
2022-09-26 20:00:00,"1.7mStack",3.0155663867687,5,"truckTDLAS"
2022-09-26 20:00:00,"1.7mStack",0.944509152438465,2.5,"truckTDLAS"
2022-09-26 20:00:00,"1.7mStack",3.18303761893299,2.5,"truckTDLAS"
2022-09-26 20:00:00,"1.7mStack",15.1843498152019,10,"truckTDLAS"
2022-09-26 20:00:00,"1.7mStack",63.3513719024462,39.7058823529412,"truckTDLAS"
2022-09-26 20:00:00,"1.7mStack",2.57425369997255,1.5,"truckTDLAS"
2022-09-26 20:00:00,"1.7mStack",0,1.5,"truckTDLAS"
2022-09-26 20:00:00,"1.7mStack",0.553640473689055,1.5,"truckTDLAS"
2022-09-26 20:00:00,"1.7mStack",0.0539418363067755,0.25,"truckTDLAS"
2022-09-26 20:00:00,"1.7mStack",0.244199496387362,0.25,"truckTDLAS"
2022-09-26 20:00:00,"1.7mStack",0,0,"truckTDLAS"
2022-09-26 20:00:00,"1.7mStack",0,0,"truckTDLAS"
2022-09-26 20:00:00,"1.7mStack",24.4013886017466,20.8823529411765,"truckTDLAS"
2022-09-26 20:00:00,"1.7mStack",1.42151531812829,1.5,"truckTDLAS"
2022-09-26 20:00:00,"1.7mStack",0,0.25,"truckTDLAS"
2022-09-26 20:00:00,"1.7mStack",0,0.25,"truckTDLAS"
2022-09-26 20:00:00,"1.7mStack",7.62796459676548,20.8823529411765,"truckTDLAS"
2022-09-26 20:00:00,"1.7mStack",0.436841683901259,1.5,"truckTDLAS"
2022-09-26 20:00:00,"1.7mStack",0.72230103538629,1.5,"truckTDLAS"
2022-09-26 20:00:00,"1.7mStack",0,0.25,"truckTDLAS"
2022-09-26 20:00:00,"1.7mStack",0,0.25,"truckTDLAS"
2022-09-26 20:00:00,"1.7mStack",20.2835188083189,20.8823529411765,"truckTDLAS"
2022-09-27 20:00:00,"1.7mStack",37.76,35.2941176470588,"truckTDLAS"
2022-09-27 20:00:00,"1.7mStack",50,49.7058823529412,"truckTDLAS"
2022-09-27 20:00:00,"1.7mStack",8.36,35.2941176470588,"truckTDLAS"
2022-09-27 20:00:00,"1.7mStack",13.46,49.7058823529412,"truckTDLAS"
2022-09-27 20:00:00,"1.7mStack",25.96,39.7058823529412,"truckTDLAS"
2022-09-27 20:00:00,"1.7mStack",28.42,49.7058823529412,"truckTDLAS"
2022-09-27 20:00:00,"1.7mStack",46.29,49.7058823529412,"truckTDLAS"
2022-09-27 20:00:00,"1.7mStack",18.26,39.7058823529412,"truckTDLAS"
2022-09-27 20:00:00,"1.7mStack",11.02,35.2941176470588,"truckTDLAS"
2022-09-27 20:00:00,"4.8mStack",30.52,35.2941176470588,"truckTDLAS"
2022-09-27 20:00:00,"4.8mStack",1.84,35.2941176470588,"truckTDLAS"
2022-09-27 20:00:00,"4.8mStack",17.28,35.2941176470588,"truckTDLAS"
2022-09-27 20:00:00,"4.8mStack",1.83,10,"truckTDLAS"
2022-09-27 20:00:00,"4.8mStack",0,0,"truckTDLAS"
2022-09-27 20:00:00,"4.8mStack",1.6,2.5,"truckTDLAS"
2022-09-27 20:00:00,"4.8mStack",10.39,5,"truckTDLAS"
2022-09-27 20:00:00,"4.8mStack",60.25,49.7058823529412,"truckTDLAS"
2022-09-27 20:00:00,"3.4mStack",27.87,35.2941176470588,"truckTDLAS"
2022-09-27 20:00:00,"3.4mStack",23.62,35.2941176470588,"truckTDLAS"
2022-09-27 20:00:00,"3.4mStack",37.08,35.2941176470588,"truckTDLAS"
2022-09-27 20:00:00,"3.4mStack",3.06,10,"truckTDLAS"
2022-09-27 20:00:00,"3.4mStack",1.64,0,"truckTDLAS"
2022-09-27 20:00:00,"3.4mStack",5.21,2.5,"truckTDLAS"
2022-09-27 20:00:00,"3.4mStack",68.18,5,"truckTDLAS"
2022-09-27 20:00:00,"3.4mStack",14.86,49.7058823529412,"truckTDLAS"
2022-09-27 20:00:00,"ShedTaped",4.81,2.5,"truckTDLAS"
2022-09-27 20:00:00,"ShedTaped",0.76,1.5,"truckTDLAS"
2022-09-27 20:00:00,"ShedTaped",3.29,5,"truckTDLAS"
2022-09-27 20:00:00,"ShedTaped",11.92,5,"truckTDLAS"
2022-09-27 20:00:00,"ShedTaped",1.2,0,"truckTDLAS"
2022-09-27 20:00:00,"ShedTaped",0.93,10,"truckTDLAS"
2022-09-27 20:00:00,"ShedTaped",1.24,0.25,"truckTDLAS"
2022-09-27 20:00:00,"ShedUntaped",2.12,10,"truckTDLAS"
2022-09-27 20:00:00,"ShedUntaped",0,5,"truckTDLAS"
2022-09-27 20:00:00,"ShedUntaped",14.11,5,"truckTDLAS"
2022-09-27 20:00:00,"ShedUntaped",1.42,1.5,"truckTDLAS"
2022-09-27 20:00:00,"ShedUntaped",1.98,2.5,"truckTDLAS"
2022-09-25 16:19:16,"TallFlareStack",0,0,"nirhsi"
